"goal","dimension","region_id","score"
"AO","future",0,64.58
"AO","future",1,64.61
"AO","future",2,64.55
"AO","future",6,64.62
"AO","pressures",1,35.1
"AO","pressures",2,35.43
"AO","pressures",6,35.08
"AO","resilience",1,62.46
"AO","resilience",2,62.46
"AO","resilience",6,62.46
"AO","score",0,61.84
"AO","score",1,61.86
"AO","score",2,61.83
"AO","score",6,61.86
"AO","status",0,59.11
"AO","status",1,59.11
"AO","status",2,59.11
"AO","status",6,59.11
"AO","trend",1,0
"AO","trend",2,0
"AO","trend",6,0
"BD","future",0,70.01
"BD","future",1,70.06
"BD","future",2,69.97
"BD","future",6,70.07
"BD","pressures",1,
"BD","pressures",2,
"BD","pressures",6,
"BD","resilience",1,
"BD","resilience",2,
"BD","resilience",6,
"BD","score",0,78.07
"BD","score",1,78.1
"BD","score",2,78.05
"BD","score",6,78.1
"BD","status",0,86.13
"BD","status",1,86.13
"BD","status",2,86.13
"BD","status",6,86.13
"BD","trend",1,-0.37
"BD","trend",2,-0.37
"BD","trend",6,-0.37
"CP","future",0,34.41
"CP","future",1,34.53
"CP","future",2,34.31
"CP","future",6,34.54
"CP","pressures",1,35.47
"CP","pressures",2,36.29
"CP","pressures",6,35.42
"CP","resilience",1,66.32
"CP","resilience",2,66.32
"CP","resilience",6,66.32
"CP","score",0,57.19
"CP","score",1,57.25
"CP","score",2,57.14
"CP","score",6,57.25
"CP","status",0,79.96
"CP","status",1,79.96
"CP","status",2,79.96
"CP","status",6,79.96
"CP","trend",1,-1
"CP","trend",2,-1
"CP","trend",6,-1
"CS","future",0,
"CS","future",1,
"CS","future",2,
"CS","future",6,
"CS","pressures",1,
"CS","pressures",2,
"CS","pressures",6,
"CS","resilience",1,65.56
"CS","resilience",2,65.56
"CS","resilience",6,65.56
"CS","score",0,
"CS","score",1,
"CS","score",2,
"CS","score",6,
"CS","status",0,74.14
"CS","status",1,74.14
"CS","status",2,74.14
"CS","status",6,74.14
"CS","trend",1,-1
"CS","trend",2,-1
"CS","trend",6,-1
"CW","future",0,65.58
"CW","future",1,65.58
"CW","future",2,65.58
"CW","future",6,65.58
"CW","pressures",1,82.16
"CW","pressures",2,82.16
"CW","pressures",6,82.16
"CW","resilience",1,67.84
"CW","resilience",2,67.84
"CW","resilience",6,67.84
"CW","score",0,66.96
"CW","score",1,66.96
"CW","score",2,66.96
"CW","score",6,66.96
"CW","status",0,68.33
"CW","status",1,68.33
"CW","status",2,68.33
"CW","status",6,68.33
"CW","trend",1,0.01
"CW","trend",2,0.01
"CW","trend",6,0.01
"ECO","future",0,100
"ECO","future",1,100
"ECO","future",2,100
"ECO","future",6,100
"ECO","pressures",1,37.64
"ECO","pressures",2,37.67
"ECO","pressures",6,37.64
"ECO","resilience",1,47.69
"ECO","resilience",2,47.69
"ECO","resilience",6,47.69
"ECO","score",0,100
"ECO","score",1,100
"ECO","score",2,100
"ECO","score",6,100
"ECO","status",0,100
"ECO","status",1,100
"ECO","status",2,100
"ECO","status",6,100
"ECO","trend",1,1
"ECO","trend",2,1
"ECO","trend",6,1
"FIS","future",0,20.33
"FIS","future",1,15.13
"FIS","future",2,26.08
"FIS","future",6,4.3
"FIS","pressures",1,37.08
"FIS","pressures",2,37.33
"FIS","pressures",6,37.07
"FIS","resilience",1,59.55
"FIS","resilience",2,59.55
"FIS","resilience",6,59.55
"FIS","score",0,19.53
"FIS","score",1,14.57
"FIS","score",2,25.04
"FIS","score",6,4.15
"FIS","status",0,18.74
"FIS","status",1,14
"FIS","status",2,24
"FIS","status",6,4
"FIS","trend",1,0.01
"FIS","trend",2,0.02
"FIS","trend",6,0
"FP","future",0,31.45
"FP","future",1,48.91
"FP","future",2,17.33
"FP","future",6,55.06
"FP","pressures",1,
"FP","pressures",2,
"FP","pressures",6,
"FP","resilience",1,
"FP","resilience",2,
"FP","resilience",6,
"FP","score",0,29.8
"FP","score",1,45.02
"FP","score",2,16.69
"FP","score",6,54.99
"FP","status",0,28.14
"FP","status",1,41.13
"FP","status",2,16.05
"FP","status",6,54.92
"FP","trend",1,0.14
"FP","trend",2,0.03
"FP","trend",6,0.18
"HAB","future",0,65.38
"HAB","future",1,65.4
"HAB","future",2,65.36
"HAB","future",6,65.41
"HAB","pressures",1,36.26
"HAB","pressures",2,36.42
"HAB","pressures",6,36.25
"HAB","resilience",1,58.81
"HAB","resilience",2,58.81
"HAB","resilience",6,58.81
"HAB","score",0,77.6
"HAB","score",1,77.61
"HAB","score",2,77.59
"HAB","score",6,77.61
"HAB","status",0,89.82
"HAB","status",1,89.82
"HAB","status",2,89.82
"HAB","status",6,89.82
"HAB","trend",1,-0.52
"HAB","trend",2,-0.52
"HAB","trend",6,-0.52
"ICO","future",0,53.05
"ICO","future",1,53.14
"ICO","future",2,52.98
"ICO","future",6,53.15
"ICO","pressures",1,40.13
"ICO","pressures",2,40.92
"ICO","pressures",6,40.08
"ICO","resilience",1,60.85
"ICO","resilience",2,60.85
"ICO","resilience",6,60.85
"ICO","score",0,56.53
"ICO","score",1,56.57
"ICO","score",2,56.49
"ICO","score",6,56.57
"ICO","status",0,60
"ICO","status",1,60
"ICO","status",2,60
"ICO","status",6,60
"ICO","trend",1,-0.27
"ICO","trend",2,-0.27
"ICO","trend",6,-0.27
"Index","future",0,69.52
"Index","future",1,72.03
"Index","future",2,67.34
"Index","future",6,73.85
"Index","score",0,72.37
"Index","score",1,74.59
"Index","score",2,70.33
"Index","score",6,76.78
"LE","future",0,100
"LE","future",1,100
"LE","future",2,100
"LE","future",6,100
"LE","pressures",1,
"LE","pressures",2,
"LE","pressures",6,
"LE","resilience",1,
"LE","resilience",2,
"LE","resilience",6,
"LE","score",0,99.47
"LE","score",1,99.47
"LE","score",2,99.47
"LE","score",6,99.47
"LE","status",0,98.93
"LE","status",1,98.93
"LE","status",2,98.93
"LE","status",6,98.93
"LE","trend",1,0.78
"LE","trend",2,0.78
"LE","trend",6,0.78
"LIV","future",0,100
"LIV","future",1,100
"LIV","future",2,100
"LIV","future",6,100
"LIV","pressures",1,39.07
"LIV","pressures",2,39.09
"LIV","pressures",6,39.07
"LIV","resilience",1,57.42
"LIV","resilience",2,57.42
"LIV","resilience",6,57.42
"LIV","score",0,98.93
"LIV","score",1,98.93
"LIV","score",2,98.93
"LIV","score",6,98.93
"LIV","status",0,97.87
"LIV","status",1,97.87
"LIV","status",2,97.87
"LIV","status",6,97.87
"LIV","trend",1,0.56
"LIV","trend",2,0.56
"LIV","trend",6,0.56
"LSP","future",0,100
"LSP","future",1,100
"LSP","future",2,100
"LSP","future",6,100
"LSP","pressures",1,47.24
"LSP","pressures",2,48.23
"LSP","pressures",6,47.18
"LSP","resilience",1,65.56
"LSP","resilience",2,65.56
"LSP","resilience",6,65.56
"LSP","score",0,100
"LSP","score",1,100
"LSP","score",2,100
"LSP","score",6,100
"LSP","status",0,100
"LSP","status",1,100
"LSP","status",2,100
"LSP","status",6,100
"LSP","trend",1,0
"LSP","trend",2,0
"LSP","trend",6,0
"MAR","future",0,41.3
"MAR","future",1,78.82
"MAR","future",2,9.58
"MAR","future",6,100
"MAR","pressures",1,35.95
"MAR","pressures",2,35.95
"MAR","pressures",6,35.95
"MAR","resilience",1,48.77
"MAR","resilience",2,48.77
"MAR","resilience",6,48.77
"MAR","score",0,38.89
"MAR","score",1,71.98
"MAR","score",2,9.3
"MAR","score",6,100
"MAR","status",0,36.47
"MAR","status",1,65.15
"MAR","status",2,9.02
"MAR","status",6,100
"MAR","trend",1,0.25
"MAR","trend",2,0.03
"MAR","trend",6,0.34
"NP","future",0,83.16
"NP","future",1,87.99
"NP","future",2,77.79
"NP","future",6,98.2
"NP","pressures",1,33.59
"NP","pressures",2,33.59
"NP","pressures",6,33.59
"NP","resilience",1,63.63
"NP","resilience",2,63.63
"NP","resilience",6,63.63
"NP","score",0,79.71
"NP","score",1,84.34
"NP","score",2,74.56
"NP","score",6,94.13
"NP","status",0,76.26
"NP","status",1,80.69
"NP","status",2,71.33
"NP","status",6,90.05
"NP","trend",1,-0.01
"NP","trend",2,-0.01
"NP","trend",6,-0.01
"SP","future",0,76.53
"SP","future",1,76.57
"SP","future",2,76.49
"SP","future",6,76.57
"SP","pressures",1,
"SP","pressures",2,
"SP","pressures",6,
"SP","resilience",1,
"SP","resilience",2,
"SP","resilience",6,
"SP","score",0,78.26
"SP","score",1,78.28
"SP","score",2,78.25
"SP","score",6,78.29
"SP","status",0,80
"SP","status",1,80
"SP","status",2,80
"SP","status",6,80
"SP","trend",1,-0.14
"SP","trend",2,-0.14
"SP","trend",6,-0.14
"SPP","future",0,74.65
"SPP","future",1,74.72
"SPP","future",2,74.59
"SPP","future",6,74.73
"SPP","pressures",1,40.95
"SPP","pressures",2,41.43
"SPP","pressures",6,40.92
"SPP","resilience",1,59.58
"SPP","resilience",2,59.58
"SPP","resilience",6,59.58
"SPP","score",0,78.55
"SPP","score",1,78.59
"SPP","score",2,78.52
"SPP","score",6,78.59
"SPP","status",0,82.45
"SPP","status",1,82.45
"SPP","status",2,82.45
"SPP","status",6,82.45
"SPP","trend",1,-0.23
"SPP","trend",2,-0.23
"SPP","trend",6,-0.23
"TR","future",0,100
"TR","future",1,100
"TR","future",2,100
"TR","future",6,100
"TR","pressures",1,62.16
"TR","pressures",2,62.16
"TR","pressures",6,62.16
"TR","resilience",1,67.84
"TR","resilience",2,67.84
"TR","resilience",6,67.84
"TR","score",0,100
"TR","score",1,100
"TR","score",2,100
"TR","score",6,100
"TR","status",0,100
"TR","status",1,100
"TR","status",2,100
"TR","status",6,100
"TR","trend",1,0
"TR","trend",2,0
"TR","trend",6,0
